X_train: (10506, 30000)
y_train: (10506, 2)
X_val: (3502, 30000)
y_val: (3502, 2)
X_test: (3502, 30000)
y_test: (3502, 2)
Epoch 1: cost 0.42862181416576206, accuracy: 63.221016561964596
Epoch 2: cost 0.3282227214845948, accuracy: 63.16390633923472
Epoch 3: cost 0.31086328190858903, accuracy: 63.76356367789834
Epoch 4: cost 0.29266126315583196, accuracy: 62.73557966876071
Epoch 5: cost 0.28723764919168937, accuracy: 63.99200456881782
Epoch 6: cost 0.2771361739084666, accuracy: 63.79211878926328
Epoch 7: cost 0.26601138026224375, accuracy: 65.41976013706453
Epoch 8: cost 0.2562907394123544, accuracy: 64.73443746430611
Epoch 9: cost 0.2484273192087888, accuracy: 66.61907481439178
Epoch 10: cost 0.2385125682086096, accuracy: 66.24785836664763
Epoch 11: cost 0.23064607474227136, accuracy: 67.70416904625928
Epoch 12: cost 0.22408258585153507, accuracy: 67.07595659623072
Epoch 13: cost 0.2155586086837807, accuracy: 67.73272415762422
Epoch 14: cost 0.2089640109700729, accuracy: 67.87549971444888
Epoch 15: cost 0.1980884306377373, accuracy: 68.50371216447743
Epoch 16: cost 0.19197292715855224, accuracy: 68.70359794403198
Epoch 17: cost 0.1875375050589461, accuracy: 70.55968018275271
Epoch 18: cost 0.17999528596406714, accuracy: 70.15990862364363
Epoch 19: cost 0.17365972164761884, accuracy: 71.55910908052542
Epoch 20: cost 0.1669941989319596, accuracy: 71.75899486007995
Epoch 21: cost 0.1618130616486162, accuracy: 70.98800685322672
Epoch 22: cost 0.15744600744861467, accuracy: 72.61564820102798
Epoch 23: cost 0.15348553991071032, accuracy: 72.95830953740719
Epoch 24: cost 0.14704958079341146, accuracy: 72.75842375785265
Epoch 25: cost 0.14371164515633475, accuracy: 72.38720731010851
Epoch 26: cost 0.13854062400391554, accuracy: 73.90062821245003
Epoch 27: cost 0.1342495798208034, accuracy: 74.15762421473444
Epoch 28: cost 0.13120919917558171, accuracy: 74.90005711022273
Epoch 29: cost 0.12748620251553197, accuracy: 75.47115933752141
Epoch 30: cost 0.12258036030122767, accuracy: 75.67104511707595
Epoch 31: cost 0.1178267901084465, accuracy: 72.4728726442033
Epoch 32: cost 0.11500057539590046, accuracy: 76.47058823529412
Epoch 33: cost 0.11074911153777578, accuracy: 76.41347801256425
Epoch 34: cost 0.10829375642708211, accuracy: 77.07024557395773
Epoch 35: cost 0.10571032309781501, accuracy: 76.72758423757853
Epoch 36: cost 0.10084292410198277, accuracy: 76.61336379211879
Epoch 37: cost 0.0985813347304428, accuracy: 77.92689891490578
Epoch 38: cost 0.09553472220413789, accuracy: 77.75556824671617
Epoch 39: cost 0.09202212513671819, accuracy: 78.1267846944603
Epoch 40: cost 0.08961692029213576, accuracy: 77.69845802398629
Epoch 41: cost 0.08700504143975754, accuracy: 78.55511136493433
Epoch 42: cost 0.08455351656587419, accuracy: 79.29754426042261
Epoch 43: cost 0.08164239709800124, accuracy: 78.55511136493433
Epoch 44: cost 0.08064666700852528, accuracy: 79.29754426042261
Epoch 45: cost 0.07701109678082929, accuracy: 79.55454026270704
Epoch 46: cost 0.0749112023111974, accuracy: 78.64077669902912
Epoch 47: cost 0.07393863508781569, accuracy: 80.06853226727584
Epoch 48: cost 0.07049256886677029, accuracy: 79.89720159908623
Epoch 49: cost 0.06839645579504118, accuracy: 79.75442604226156
Epoch 50: cost 0.0664441588096501, accuracy: 80.6110793832096
Best Validation Accuracy 80.6110793832096, Epoch 50
