X_train: (10506, 30000)
y_train: (10506, 2)
X_val: (3502, 30000)
y_val: (3502, 2)
X_test: (3502, 30000)
y_test: (3502, 2)
Epoch 1: cost 0.3216070252240975, accuracy: 62.193032552826956
Epoch 2: cost 0.2884553486357728, accuracy: 63.563677898343805
Epoch 3: cost 0.26701179399466285, accuracy: 64.33466590519703
Epoch 4: cost 0.24901234272966016, accuracy: 64.1347801256425
Epoch 5: cost 0.23916337854622935, accuracy: 63.44945745288406
Epoch 6: cost 0.23042347457795478, accuracy: 64.50599657338664
Epoch 7: cost 0.2250060690592189, accuracy: 66.04797258709308
Epoch 8: cost 0.22063546650139312, accuracy: 66.81896059394631
Epoch 9: cost 0.21583082289736163, accuracy: 66.61907481439178
Epoch 10: cost 0.2111357839779135, accuracy: 67.58994860079954
Epoch 11: cost 0.2074139853065988, accuracy: 67.58994860079954
Epoch 12: cost 0.20309942233585138, accuracy: 67.87549971444888
Epoch 13: cost 0.20100146593197696, accuracy: 68.07538549400343
Epoch 14: cost 0.19817504158986354, accuracy: 68.10394060536836
Epoch 15: cost 0.19589901905670934, accuracy: 68.58937749857225
Epoch 16: cost 0.1929985950083044, accuracy: 69.44603083952028
Epoch 17: cost 0.18948087543481631, accuracy: 68.98914905768132
Epoch 18: cost 0.18686952658433345, accuracy: 69.4745859508852
Epoch 19: cost 0.18415874835515683, accuracy: 70.35979440319818
Epoch 20: cost 0.1810029001151077, accuracy: 69.3889206167904
Epoch 21: cost 0.17877513415863813, accuracy: 70.18846373500857
Epoch 22: cost 0.1754505259933721, accuracy: 70.81667618503712
Epoch 23: cost 0.17261824667694284, accuracy: 71.01656196459166
Epoch 24: cost 0.16916780073125753, accuracy: 70.84523129640206
Epoch 25: cost 0.16670342486956968, accuracy: 72.58709308966304
Epoch 26: cost 0.16415840536886123, accuracy: 72.38720731010851
Epoch 27: cost 0.16142420190725984, accuracy: 71.98743575099942
Epoch 28: cost 0.15828856256545826, accuracy: 71.93032552826956
Epoch 29: cost 0.15512267326372364, accuracy: 73.07252998286693
Epoch 30: cost 0.15289606910339312, accuracy: 72.41576242147345
Epoch 31: cost 0.14903044441129093, accuracy: 73.24386065105654
Epoch 32: cost 0.14721583130354227, accuracy: 73.47230154197601
Epoch 33: cost 0.1435838921160133, accuracy: 74.70017133066818
Epoch 34: cost 0.14050933313370564, accuracy: 74.90005711022273
Epoch 35: cost 0.13790559475734734, accuracy: 74.58595088520845
Epoch 36: cost 0.13630175875039624, accuracy: 75.72815533980582
Epoch 37: cost 0.13312121983640487, accuracy: 75.98515134209023
Epoch 38: cost 0.13008005905191705, accuracy: 75.61393489434609
Epoch 39: cost 0.12789395643673165, accuracy: 76.98458023986294
Epoch 40: cost 0.12495007652371447, accuracy: 77.09880068532267
Epoch 41: cost 0.12413426691551446, accuracy: 76.84180468303826
Epoch 42: cost 0.11930956002662337, accuracy: 77.24157624214735
Epoch 43: cost 0.11799754226785542, accuracy: 77.41290691033696
Epoch 44: cost 0.11630730173046198, accuracy: 77.8697886921759
Epoch 45: cost 0.11364507217355725, accuracy: 77.1273557966876
Epoch 46: cost 0.11135854688134916, accuracy: 78.1267846944603
Epoch 47: cost 0.10948484221051168, accuracy: 77.69845802398629
Epoch 48: cost 0.10878863274196247, accuracy: 78.35522558537978
Epoch 49: cost 0.10525196218782014, accuracy: 78.29811536264991
Epoch 50: cost 0.10284423590703125, accuracy: 78.9548829240434
Best Validation Accuracy 78.9548829240434, Epoch 50
