X_train: (10506, 30000)
y_train: (10506, 2)
X_val: (3502, 30000)
y_val: (3502, 2)
X_test: (3502, 30000)
y_test: (3502, 2)
Epoch 1: cost 0.2993078437614577, accuracy: 62.764134780125644
Epoch 2: cost 0.25839810045642564, accuracy: 63.849229011993145
Epoch 3: cost 0.2441643158143396, accuracy: 63.99200456881782
Epoch 4: cost 0.23682798794528295, accuracy: 64.50599657338664
Epoch 5: cost 0.23296194576032161, accuracy: 59.508852084523134
Epoch 6: cost 0.22925276757168117, accuracy: 64.44888635065676
Epoch 7: cost 0.22736077557494325, accuracy: 64.70588235294117
Epoch 8: cost 0.22400816607096655, accuracy: 64.73443746430611
Epoch 9: cost 0.22304064372692706, accuracy: 63.478012564249
Epoch 10: cost 0.22060024276411158, accuracy: 63.3923472301542
Epoch 11: cost 0.21830934582370606, accuracy: 65.27698458023985
Epoch 12: cost 0.21674730670754253, accuracy: 65.41976013706453
Epoch 13: cost 0.21562578801881277, accuracy: 66.36207881210737
Epoch 14: cost 0.21399028164294337, accuracy: 65.76242147344374
Epoch 15: cost 0.21166257236796002, accuracy: 64.87721302113079
Epoch 16: cost 0.21072157073901499, accuracy: 65.61964591661908
Epoch 17: cost 0.20843327804508838, accuracy: 65.76242147344374
Epoch 18: cost 0.2070608591691727, accuracy: 66.10508280982296
Epoch 19: cost 0.20534927329790456, accuracy: 65.21987435751
Epoch 20: cost 0.20441596695815784, accuracy: 66.19074814391777
Epoch 21: cost 0.20311458506868665, accuracy: 65.79097658480867
Epoch 22: cost 0.20086896241528177, accuracy: 66.36207881210737
Epoch 23: cost 0.19902531116195263, accuracy: 66.2193032552827
Epoch 24: cost 0.19759285838440538, accuracy: 66.96173615077099
Epoch 25: cost 0.19653465948006055, accuracy: 66.99029126213593
Epoch 26: cost 0.1936749059752591, accuracy: 66.3906339234723
Epoch 27: cost 0.19286694520088002, accuracy: 67.58994860079954
Epoch 28: cost 0.19089215972586923, accuracy: 67.64705882352942
Epoch 29: cost 0.1904308558843996, accuracy: 67.53283837806967
Epoch 30: cost 0.1882234294721626, accuracy: 67.41861793260993
Epoch 31: cost 0.18867914089422913, accuracy: 68.07538549400343
Epoch 32: cost 0.18502547689001775, accuracy: 68.76070816676186
Epoch 33: cost 0.18473673530296747, accuracy: 68.50371216447743
Epoch 34: cost 0.1813092770246024, accuracy: 69.10336950314107
Epoch 35: cost 0.18056798920696707, accuracy: 69.53169617361507
Epoch 36: cost 0.1790775729597733, accuracy: 68.3894917190177
Epoch 37: cost 0.1779905442393841, accuracy: 68.93203883495146
Epoch 38: cost 0.17742268341872255, accuracy: 66.33352370074243
Epoch 39: cost 0.17582716541431384, accuracy: 69.58880639634495
Epoch 40: cost 0.17370550507729912, accuracy: 69.3889206167904
Epoch 41: cost 0.17531997329787566, accuracy: 70.58823529411765
Epoch 42: cost 0.17159683816465657, accuracy: 69.61736150770989
Epoch 43: cost 0.17102014915843125, accuracy: 69.131924614506
Epoch 44: cost 0.16840876702185403, accuracy: 70.81667618503712
Epoch 45: cost 0.16859618990890796, accuracy: 69.50314106225014
Epoch 46: cost 0.16722838106657043, accuracy: 71.21644774414621
Epoch 47: cost 0.16511288830731075, accuracy: 71.07367218732153
Epoch 48: cost 0.16471665208825917, accuracy: 70.61679040548258
Epoch 49: cost 0.16327804148648534, accuracy: 71.73043974871503
Epoch 50: cost 0.16229703310528756, accuracy: 71.58766419189034
Best Validation Accuracy 71.73043974871503, Epoch 49
